qubit_id,tx_state,tx_basis,decoy_level,rx_state,rx_basis,matching_basis
576,0,1,0,0,0,False
577,1,0,2,1,1,False
578,0,0,0,0,0,True
579,1,0,0,1,0,True
580,1,0,0,1,0,True
581,0,1,2,0,1,True
582,1,0,0,1,0,True
583,0,0,0,0,0,True
584,0,0,0,1,1,False
585,1,0,2,1,1,False
586,0,0,2,0,1,False
587,0,0,0,0,1,False
588,0,1,0,0,1,True
589,0,0,0,0,1,False
590,1,0,0,1,0,True
591,0,0,0,1,1,False
592,0,1,0,0,1,True
593,0,0,0,0,0,True
594,0,0,0,0,1,False
595,0,0,0,0,1,False
596,0,0,0,0,1,False
597,0,0,2,0,1,False
598,1,0,2,1,0,True
599,0,0,0,1,1,False
600,0,0,2,0,0,True
601,1,0,0,1,0,True
602,0,0,2,0,0,True
603,0,0,0,0,0,True
604,0,0,2,0,1,False
605,0,0,0,0,0,True
606,1,0,0,1,0,True
607,0,1,2,0,1,True
608,1,0,0,0,1,False
609,0,0,0,0,0,True
610,1,0,0,0,1,False
611,1,0,0,1,0,True
612,0,0,2,0,0,True
613,1,0,0,0,1,False
614,0,1,0,0,1,True
615,1,0,2,1,0,True
616,1,0,0,1,0,True
617,1,0,2,1,0,True
618,1,0,0,1,0,True
619,0,0,0,0,0,True
620,0,1,0,0,1,True
621,1,0,0,1,0,True
622,1,0,2,1,0,True
623,0,0,2,0,0,True
624,0,0,2,0,0,True
625,0,0,0,0,0,True
626,1,0,0,1,1,False
627,1,0,0,1,1,False
628,1,0,0,1,1,False
629,0,0,0,0,1,False
630,0,0,0,0,0,True
631,0,0,0,0,0,True
632,0,1,0,1,0,False
633,1,0,0,0,1,False
634,0,0,0,1,1,False
635,1,0,0,1,0,True
636,1,0,0,1,0,True
637,0,0,0,0,1,False
638,1,0,2,1,0,True
639,1,0,0,1,0,True
640,0,0,0,0,0,True
641,0,1,0,0,1,True
642,0,0,0,0,0,True
643,1,0,0,1,0,True
644,1,0,2,1,1,False
645,0,1,2,1,0,False
646,1,0,0,1,1,False
647,1,0,0,0,1,False
648,0,0,0,0,0,True
649,0,1,0,0,1,True
650,0,0,0,0,1,False
651,0,0,0,0,0,True
652,1,0,0,1,1,False
653,0,0,0,0,1,False
654,1,0,0,1,0,True
655,0,0,2,0,1,False
656,1,0,0,0,1,False
657,1,0,2,1,1,False
658,0,0,0,1,1,False
659,1,0,0,0,1,False
660,0,0,0,0,0,True
661,1,0,0,1,0,True
662,1,0,0,1,1,False
663,1,0,0,1,0,True
664,1,0,0,1,0,True
665,0,1,0,0,0,False
666,0,0,2,0,0,True
667,1,0,0,1,0,True
668,1,0,0,1,0,True
669,1,0,2,1,0,True
670,0,1,2,1,0,False
671,0,0,2,0,0,True
672,0,0,0,0,0,True
673,1,0,0,1,1,False
674,1,0,0,1,0,True
675,0,0,0,1,1,False
676,0,1,2,0,1,True
677,1,0,2,1,0,True
678,0,0,0,0,0,True
679,1,0,0,0,1,False
680,1,0,0,1,0,True
681,0,0,2,0,1,False
682,1,0,2,1,0,True
683,1,0,2,1,1,False
684,1,0,0,0,1,False
685,1,0,0,1,0,True
686,1,0,0,1,1,False
687,1,0,2,1,0,True
688,1,0,0,1,0,True
689,1,0,0,1,0,True
690,1,0,0,1,0,True
691,0,0,0,1,1,False
692,1,0,0,1,0,True
693,0,0,2,0,0,True
694,0,0,0,0,0,True
695,0,0,0,0,0,True
696,0,0,0,0,1,False
697,0,1,0,0,1,True
698,1,0,0,1,0,True
699,0,0,0,1,1,False
700,0,1,0,0,1,True
701,0,0,2,1,1,False
702,0,0,0,0,0,True
703,1,0,0,1,1,False
704,1,0,2,0,1,False
705,1,0,0,1,0,True
706,0,0,0,0,1,False
707,1,0,0,1,1,False
708,0,0,0,0,0,True
709,1,0,0,1,0,True
710,0,0,0,0,0,True
711,1,0,2,1,0,True
712,0,0,0,0,0,True
713,0,0,0,0,0,True
714,1,0,0,1,0,True
715,0,0,0,0,0,True
716,1,0,0,1,0,True
717,0,0,2,0,1,False
718,1,0,0,1,1,False
719,1,0,0,1,0,True
720,0,0,0,0,0,True
721,1,0,2,1,0,True
722,0,0,0,1,1,False
723,0,0,0,0,1,False
724,1,0,0,1,0,True
725,1,0,0,0,1,False
726,1,0,0,1,0,True
727,0,0,0,0,0,True
728,0,1,0,0,1,True
729,1,0,2,1,1,False
730,0,0,0,0,0,True
731,0,0,0,1,1,False
732,1,0,0,0,1,False
733,0,0,0,0,0,True
734,1,0,2,1,0,True
735,0,1,0,1,0,False
736,1,0,0,1,0,True
737,0,0,0,0,0,True
738,1,0,0,1,0,True
739,0,1,0,0,0,False
740,0,1,2,1,0,False
741,1,0,2,0,1,False
742,1,0,0,1,1,False
743,1,0,0,1,0,True
744,1,0,0,0,1,False
745,0,0,2,1,1,False
746,0,0,2,0,1,False
747,1,0,0,1,0,True
748,0,0,0,1,1,False
749,0,0,0,1,1,False
750,0,1,0,1,0,False
751,1,0,0,0,1,False
752,0,0,2,0,1,False
753,0,0,0,0,0,True
754,1,0,0,1,0,True
755,1,0,0,1,0,True
756,0,0,0,0,0,True
757,1,0,0,1,0,True
758,0,0,0,0,1,False
759,0,0,0,0,0,True
760,1,0,2,1,0,True
761,1,0,2,1,0,True
762,0,0,2,1,1,False
763,0,1,2,0,0,False
764,0,0,2,0,0,True
765,0,0,0,0,0,True
766,0,0,2,0,1,False
767,1,0,0,1,0,True
768,0,0,0,0,0,True
769,1,0,0,1,0,True
770,0,0,0,0,1,False
771,1,0,0,1,0,True
772,0,1,0,0,0,False
773,1,0,0,1,0,True
774,0,0,0,0,0,True
775,0,0,2,0,1,False
776,0,0,2,0,1,False
777,0,0,0,0,1,False
778,1,0,0,1,0,True
779,0,0,0,0,0,True
780,1,0,2,1,0,True
781,0,0,0,1,1,False
782,0,0,0,1,1,False
783,0,0,0,0,1,False
784,0,0,0,1,1,False
785,0,0,0,0,0,True
786,1,0,0,1,0,True
787,0,0,0,1,1,False
788,1,0,0,0,1,False
789,1,0,0,1,0,True
790,0,0,2,0,0,True
791,1,0,2,0,1,False
792,1,0,0,1,0,True
793,1,0,2,1,0,True
794,0,0,0,0,0,True
795,0,0,0,0,0,True
796,1,0,0,1,0,True
797,0,0,2,1,1,False
798,0,0,0,0,0,True
799,1,0,0,1,0,True
800,0,0,2,0,0,True
801,0,0,0,0,0,True
802,0,0,0,0,0,True
803,0,0,0,0,1,False
804,1,0,0,0,1,False
805,0,0,0,0,1,False
806,1,0,0,1,0,True
807,1,0,0,1,0,True
808,1,0,0,1,0,True
809,1,0,0,1,0,True
810,1,0,2,1,0,True
811,0,0,0,0,0,True
812,1,0,0,1,0,True
813,0,1,2,0,1,True
814,0,0,0,1,1,False
815,0,0,0,1,1,False
816,0,0,0,0,1,False
817,1,0,0,1,0,True
818,0,0,0,0,1,False
819,1,0,0,1,1,False
820,0,0,0,0,0,True
821,1,0,0,1,0,True
822,1,0,0,1,1,False
823,0,0,0,0,0,True
824,1,0,0,1,1,False
825,0,0,2,0,1,False
826,0,0,2,0,0,True
827,0,0,2,0,0,True
828,0,0,0,0,0,True
829,0,0,0,0,1,False
830,0,1,0,1,0,False
831,1,0,0,1,0,True
832,0,1,0,0,1,True
833,0,0,0,0,0,True
834,1,0,0,0,1,False
835,1,0,2,0,1,False
836,1,0,0,1,0,True
837,0,0,0,1,1,False
838,0,0,0,0,0,True
839,1,0,0,1,0,True
840,1,0,0,1,0,True
841,1,0,2,1,0,True
842,1,0,0,1,0,True
843,0,1,0,0,1,True
844,0,0,0,0,1,False
845,0,0,0,0,1,False
846,0,0,0,0,0,True
847,1,0,2,1,0,True
848,0,0,2,1,1,False
849,1,0,0,1,0,True
850,1,0,0,1,0,True
851,1,0,0,1,1,False
852,1,0,0,1,0,True
853,0,0,0,0,0,True
854,1,0,0,1,1,False
855,1,0,0,1,1,False
856,1,0,0,1,0,True
857,0,1,0,1,0,False
858,0,1,2,1,0,False
859,1,0,2,1,0,True
860,0,1,0,1,0,False
861,1,0,0,1,0,True
862,1,0,2,0,1,False
863,1,0,2,0,1,False
864,1,0,0,1,0,True
865,1,0,0,1,0,True
866,0,0,2,0,0,True
867,0,0,0,1,1,False
868,1,0,0,1,0,True
869,1,0,0,1,1,False
870,1,0,0,0,1,False
871,0,1,0,0,1,True
872,0,0,2,0,1,False
873,0,0,2,0,0,True
874,0,1,2,0,1,True
875,0,0,0,0,1,False
876,0,0,0,0,1,False
877,0,0,0,0,0,True
878,1,0,0,1,0,True
879,0,1,0,0,0,False
880,1,0,2,1,0,True
881,0,0,2,0,0,True
882,1,0,0,0,1,False
883,1,0,0,0,1,False
884,0,0,2,0,1,False
885,1,0,0,1,0,True
886,0,0,0,0,0,True
887,0,0,2,0,1,False
888,1,0,0,1,1,False
889,0,0,0,0,1,False
890,0,0,0,0,0,True
891,1,0,0,1,0,True
892,0,0,2,1,1,False
893,1,0,0,1,0,True
894,0,1,0,0,1,True
895,0,1,0,0,0,False
896,1,0,0,1,1,False
897,0,0,2,0,1,False
898,0,0,2,0,0,True
899,1,0,0,1,1,False
900,1,0,0,1,0,True
901,0,0,0,0,1,False
902,1,0,0,1,0,True
903,1,0,2,1,0,True
904,0,0,0,0,0,True
905,1,0,0,1,0,True
906,0,0,0,0,1,False
907,1,0,0,1,0,True
908,1,0,0,1,0,True
909,0,0,0,0,0,True
910,1,0,2,0,1,False
911,1,0,2,1,0,True
912,1,0,0,1,0,True
913,0,1,0,1,0,False
914,1,0,0,1,0,True
915,0,0,0,0,0,True
916,0,1,2,0,0,False
917,1,0,0,0,1,False
918,0,0,0,0,0,True
919,0,1,0,0,1,True
920,0,0,2,1,1,False
921,0,0,0,0,0,True
922,0,0,0,0,1,False
923,0,0,0,1,1,False
924,1,0,0,1,0,True
925,0,0,2,0,1,False
926,1,0,0,1,0,True
927,0,0,0,0,0,True
928,0,1,0,1,0,False
929,0,1,0,0,1,True
930,0,0,0,0,1,False
931,1,0,0,1,1,False
932,0,0,0,0,0,True
933,1,0,2,1,0,True
934,0,0,0,0,1,False
935,1,0,0,1,0,True
936,1,0,2,1,0,True
937,1,0,0,1,0,True
938,1,0,2,0,1,False
939,0,0,0,0,0,True
940,0,0,0,0,0,True
